닉네임,직업,레벨,전투력,점수,예측점수,실압투
그린상훈,신궁,100,3528900000000,108억3907만,7866227530,+37.8%
블랙경윤,"아크메이지(썬,콜)",100,4161800000000,95억6731만,9062062116,+5.6%
실버정환,섀도어,100,2236700000000,69억6266만,5424676807,+28.4%
오렌지완,"아크메이지(불,독)",98,1251600000000,60억4815만,3563376996,+69.7%
김안셀모,"아크메이지(썬,콜)",98,3193100000000,65억1191만,7231749328,-10.0%
지난이야기,히어로,98,1679000000000,54억9337만,4370929061,+25.7%
빠따가2,신궁,99,6722100000000,119억7722만,13899627751,-13.8%
레드웅이,비숍,91,113740620000,9억2291만,1413445568,-34.7%
브라운철,"아크메이지(썬,콜)",88,50504580000,5억88853만,1293964065,+7.3%
전설의영포티,섀도어,93,480086540000,14억8648만,2105638840,-29.4%
하영과돌돌,히어로,96,1100400000000,31억3345만,3277691754,-4.4%
토우르,신궁,93,347721440000,24억4540만,1855541250,+31.8%
냥꾸니,신궁,94,708932830000,22억5179만,2538033070,-11.3%
나로e,나이트로드,99,2026300000000,60억7836만,5027135969,+20.9%
닼읔낰이트,다크나이트,96,1272400000000,25억3124만,3602677611,-29.7%
도돍,"아크메이지(썬,콜)",96,1410100000000,52억1889만,3862855242,+35.1%
짬뽕에소주,히어로,97,1012000000000,33억9868만,3110664140,+9.3%
가산요소,섀도어,98,872087850000,30억1133만,2846306756,+5.8%
구준표춘,"아크메이지(썬,콜)",96,578003680000,18억5777만,2290648640,-18.9%
돈키호테바이,섀도어,92,211626980000,9억4408만,1598397211,-40.9%
은평구돌주먹,나이트로드,97,1153300000000,32억3899만,3377643800,-4.1%
쭈니짜응,섀도어,97,909293890000,25억8041만,2916605807,-11.5%
앙끼모륑,"아크메이지(썬,콜)",94,568668990000,14억4565만,2273011185,-36.4%
핫딜방문판매,"아크메이지(불,독)",93,324444870000,0,0,
몽팡팡,비숍,82,11525600000,1억8725만,1220315127,-84.7%
민우민우민우,섀도어,98,2444400000000,32억3752만,5817116124,-44.3%
즐똥1,"아크메이지(썬,콜)",95,848896740000,18억9041만,2802488252,-32.5%
표뚀,나이트로드,95,984974380000,0,0,
맞수,나이트로드,96,875815540000,0,0,
