닉네임,직업,레벨,전투력,점수,예측점수,실압투
빠따가2,신궁,99,6722100000000,5093025,5300877,-3.9%
블랙경윤,"아크메이지(썬,콜)",100,4161800000000,4026165,3592704,+12.1%
그린상훈,신궁,100,3528900000000,3414468,3170448,+7.7%
김안셀모,"아크메이지(썬,콜)",98,3193100000000,2944581,2946410,-0.1%
오렌지완,"아크메이지(불,독)",98,1251600000000,2830929,1651086,+71.5%
실버정환,섀도어,100,2236700000000,2644353,2308322,+14.6%
은평구돌주먹,나이트로드,97,1153300000000,2336577,1585503,+47.4%
도돍,"아크메이지(썬,콜)",96,1410100000000,2083350,1756834,+18.6%
나로e,나이트로드,99,2026300000000,2073678,2167948,-4.3%
닼읔낰이트,다크나이트,96,1272400000000,1606308,1664963,-3.5%
하영과돌돌,히어로,96,1100400000000,1540953,1550209,-0.6%
쭈니짜응,섀도어,97,909293890000,1538064,1422707,+8.1%
가산요소,섀도어,98,872087850000,1501092,1397884,+7.4%
토우르,신궁,93,347721440000,1401417,1048039,+33.7%
지난이야기,히어로,98,1679000000000,1352292,1936237,-30.2%
냥꾸니,신궁,94,708932830000,1311351,1289031,+1.7%
구준표춘,"아크메이지(썬,콜)",96,578003680000,1302021,1201678,+8.4%
즐똥1,"아크메이지(썬,콜)",95,848896740000,1292703,1382412,-6.5%
민우민우민우,섀도어,98,2444400000000,1065756,2446895,-56.4%
레드웅이,비숍,91,113740620000,1034106,891933,+15.9%
앙끼모륑,"아크메이지(썬,콜)",94,568668990000,923868,1195450,-22.7%
브라운철,"아크메이지(썬,콜)",88,50504580000,649644,849743,-23.5%
전설의영포티,섀도어,93,480086540000,590580,1136350,-48.0%
몽팡팡,비숍,82,11525600000,570171,823737,-30.8%
돈키호테바이,섀도어,92,211626980000,547188,957240,-42.8%
짬뽕에소주,히어로,97,1012000000000,0,0,
핫딜방문판매,"아크메이지(불,독)",93,324444870000,0,0,
표뚀,나이트로드,95,984974380000,0,0,
맞수,나이트로드,96,875815540000,0,0,
